"AD_Org_ID[Name]","ZZSaqaUnitStandardCode","ZZSaqaUnitStandardTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZReplacementUnitStandard_ID[ZZSaqaUnitStandardCode]","ZZQualityAssuranceBody","ZZNewRegistrationStartDate","ZZNewRegistrationEndDate","ZZNewLastEnrolmentDate","ZZNewLastAchievementDate","ZZIsReplacement","ZZIsReregistered","ZZMqaUnitStandardCode","ZZMigrationCode/K",_LOG_
*,"9719",Grind material by means of a rod mill,"3",10,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G009,40,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000039] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000039] / "
*,"9720",Grind material by means of a run of mine mill,"3",10,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G010,41,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000040] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000040] / "
*,"9722",Maintain inter-stage screens in an adsorption process,"2",16,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G025,42,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000041] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000041] / "
*,"9723",Replace cathodes in an electro winding process,"2",4,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G026,43,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000042] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000042] / "
*,"9724",Leach metal-bearing material in an open vessel,"3",6,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G033,44,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000043] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000043] / "
*,"9725",Elute gold from loaded carbon,"3",6,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G037,45,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000044] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000044] / "
*,"9738",Elute uranium from loaded resin,"3",5,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G038,46,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000045] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000045] / "
*,"9739",Regenerate carbon by means of a rotary kiln,"3",4,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G039,47,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000046] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000046] / "
*,"9726",Construct a tailings dam catwalk,"3",7,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G200,48,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000047] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000047] / "
*,"9727",Deposit tailings onto a paddock-type dam	,"3",7,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G201,49,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000048] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000048] / "
*,"9728",Deposit tailings onto an impoundment-type dam,"2",7,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G202,50,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000049] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000049] / "
*,"9729",Deposit tailings onto a spigot-type dam,"3",7,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G203,51,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000050] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000050] / "
*,"9730",Deposit tailings onto a tailings dam by means of cycloning,"3",7,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G204,52,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000051] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000051] / "
*,"9732",Supervise tailings dam operations,"4",27,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G206,53,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000052] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000052] / "
*,"9733",Monitor tailings dam technical performance parameters.	,"3",8,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G207	,54,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000053] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000053] / "
*,"9734",Demonstrate the fundamentals of tailings dams - Level one.,"3",18,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G208,55,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000054] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000054] / "
