"AD_Org_ID[Name]","ZZModuleCode","ZZModuleTitle","ZZQualityAssuranceBody","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZNqfLevel","ZZLearningType","ZZModuleType","IsActive","ZZMigrationCode/K","ZZMigrateValues",_LOG_
*,"651302000-KM-06",Boilermaker’s Drawings,"629",9,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,11,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000589] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000589] / "
*,"651302000-PM-01",Visualise structures and components and develop templates according to set tolerances and / or standards,"629",18,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,12,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000590] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000590] / "
*,"651302000-PM-02","Maintain and use tools, equipment and machinery whilst applying safety measures","629",15,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,13,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000591] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000591] / "
*,"651302000-PM-03","Weld and gas cut components required for fabrication of a specific task such as metal pipes, construction and fabricated plate work and conduct visual and mechanical inspections for compliance with legal requirements","629",28,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,14,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000592] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000592] / "
*,"651302000-PM-04",Manipulate and fabricate profiles and metal sections accurately using heating and cold bending processes whilst applying safety measures,"629",41,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,15,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000593] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000593] / "
*,"651302000-PM-05","Erect, assemble and repair metal structures accurately whilst applying safety measures","629",28,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,16,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000594] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000594] / "
*,"651302000-WM-01",Pattern and template development processes,"629",30,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,17,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000595] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000595] / "
*,"651302000-WM-02","Tools, equipment and machinery maintenance and operation processes","629",30,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,18,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000596] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000596] / "
*,"651302000-WM-03",Workshop or on-site cutting and welding processes,"629",43,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,19,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000597] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000597] / "
*,"651302000-WM-04","Fabrication, assembling and repairing of metal components and structures","629",43,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,20,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000598] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000598] / "
*,"651302000-WM-05",Assembling and erecting processes for structures and components,"629",34,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,21,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000599] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000599] / "
*,"312102-001-00-KM-01","Health, Safety, and the Environment for Mining Operations","629",12,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"2",Knowledge,Core,Y,22,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000600] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000600] / "
*,"312102-001-00-KM-02",Mining Operations,"629",8,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"3",Knowledge,Core,Y,23,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000601] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000601] / "
*,"312102-001-00-KM-03",Supervision,"629",12,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"3",Knowledge,Core,Y,24,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000602] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000602] / "
*,"312102-001-00-KM-04",Mining Production Operations,"629",12,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"3",Knowledge,Core,Y,25,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000603] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000603] / "
*,"312102-001-00-PM-01","Oversee, Apply, Exercise, and Ensure Safety, Health and Environmental Measures, Processes and Procedures, Mining Operations","629",16,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"3",Application,Core,Y,26,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000604] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000604] / "
*,"312102-001-00-PM-02",Conduct Blasting Operations,"629",40,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"3",Application,Core,Y,27,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000605] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000605] / "
*,"312102-001-00-PM-03",Supervise and Complete Mining Production Operations,"629",40,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"3",Application,Core,Y,28,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000606] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000606] / "
*,"312102-001-00-WM-01",Underground Hardrock Blasting Operations,"629",20,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"3",Work experience,Elective,Y,29,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000607] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000607] / "
*,"312102-001-00-WM-02",Underground Hardrock Production Operations,"629",20,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"3",Work experience,Elective,Y,30,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000608] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000608] / "
*,"312102-001-00-WM-03",Underground Coal Blasting Operations,"629",20,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"3",Work experience,Elective,Y,31,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000609] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000609] / "
*,"312102-001-00-WM-04",Underground Coal Production Operations,"629",20,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"3",Work experience,Elective,Y,32,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000610] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000610] / "
*,"312101-001-00-KM-01","Health, Safety, and the Environment","629",8,2022-06-21 00:00:00.000,2027-06-21 00:00:00.000,2028-06-21 00:00:00.000,2031-06-21 00:00:00.000,"4",Knowledge,Core,Y,33,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000611] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000611] / "
*,"312101-001-00-KM-02",Mining Operations,"629",46,2021-06-21 00:00:00.000,2027-06-21 00:00:00.000,2028-06-21 00:00:00.000,2031-06-21 00:00:00.000,"4",Knowledge,Core,Y,34,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000612] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000612] / "
*,"312101-001-00-KM-03",Supervision,"629",12,2022-06-21 00:00:00.000,2027-06-21 00:00:00.000,2028-06-21 00:00:00.000,2031-06-21 00:00:00.000,"4",Knowledge,Core,Y,35,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000613] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000613] / "
*,"312101-001-00-KM-04",Production Operations,"629",12,2022-06-21 00:00:00.000,2027-06-21 00:00:00.000,2028-06-21 00:00:00.000,2031-06-21 00:00:00.000,"4",Knowledge,Core,Y,36,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000614] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000614] / "
*,"312101-001-00-PM-01","Oversee, Apply, Exercise, and Ensure Safety, Health, and Environmental Measures, Processes, and Procedures","629",16,2022-06-21 00:00:00.000,2027-06-21 00:00:00.000,2028-06-21 00:00:00.000,2031-06-21 00:00:00.000,"4",Application,Core,Y,37,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000615] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000615] / "
*,"312101-001-00-PM-02","Facilitate, Apply, Revise, where required, Reconcile, and Supervise the Planning Processes to Achieve the Required Mining Cycle/Target","629",16,2022-06-21 00:00:00.000,2027-06-21 00:00:00.000,2028-06-21 00:00:00.000,2031-06-21 00:00:00.000,"4",Application,Core,Y,38,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000616] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000616] / "
*,"312101-001-00-PM-03","Monitor, Supervise, Coordinate, Inspect, Consult, and Record Production Operations","629",46,2022-06-21 00:00:00.000,2027-06-21 00:00:00.000,2028-06-21 00:00:00.000,2031-06-21 00:00:00.000,"4",Application,Core,Y,39,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000617] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000617] / "
*,"312101-001-00-WM-01",Underground Hard Rock Production Operations,"629",40,2022-06-21 00:00:00.000,2027-06-21 00:00:00.000,2028-06-21 00:00:00.000,2031-06-21 00:00:00.000,"4",Work experience,Elective,Y,40,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000618] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000618] / "
*,"312101-001-00-WM-02",Underground Coal Production Operations,"629",40,2022-06-21 00:00:00.000,2027-06-21 00:00:00.000,2028-06-21 00:00:00.000,2031-06-21 00:00:00.000,"4",Work experience,Elective,Y,41,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000619] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000619] / "
*,"312101-001-00-WM-03",Surface Production Operations,"629",40,2022-06-21 00:00:00.000,2027-06-21 00:00:00.000,2028-06-21 00:00:00.000,2031-06-21 00:00:00.000,"4",Work experience,Elective,Y,42,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000620] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000620] / "
*,"671101000-KM-01","Health, Safety, Quality and Legislation","597",5,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,43,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000621] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000621] / "
*,"671101000-KM-02","Tools, Equipment and Materials","597",8,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,44,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000622] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000622] / "
*,"671101000-KM-03",Electricity and electronics,"597",13,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,45,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000623] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000623] / "
*,"671101000-KM-04",Industry Context,"597",2,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Knowledge,Core,Y,46,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000624] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000624] / "
*,"671101000-KM-05",Wire ways and wiring,"597",11,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,47,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000625] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000625] / "
*,"671101000-KM-06",Rotating electrical machinery,"597",13,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,48,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000626] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000626] / "
*,"671101000-KM-07",Electrical supply systems and components,"597",31,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,49,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000627] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000627] / "
*,"671101000-KM-08",Low Voltage protection,"597",5,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,50,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000628] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000628] / "
*,"671101000-KM-9",Fault Finding,"597",3,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,51,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000629] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000629] / "
*,"671101000-PM-01","Use hand, power and measuring tools","597",22,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Application,Core,Y,52,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000630] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000630] / "
*,"671101000-PS-02","Plan worksite set up for installing, wiring and connecting electrical equipment and control systems","597",5,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Application,Core,Y,53,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000631] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000631] / "
*,"671101000-PS-03","Prepare worksite set up for installing, wiring and connecting electrical equipment and control systems","629",3,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Application,Core,Y,54,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000632] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000632] / "
*,"671101000-PS-04",Install wire-ways,"597",5,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,55,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000633] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000633] / "
*,"671101000-PS-05","Install, wire and connect electrical equipment and control systems","597",38,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,56,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000634] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000634] / "
*,"671101000-PS-06",Conduct pre-commission inspection (power off) and test new and existing installations,"597",5,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,57,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000635] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000635] / "
*,"671101000-PS-07",Carry out commissioning tests,"597",13,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,58,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000636] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000636] / "
*,"671101000-PS-08",Fault find and repair electrical control systems and electrical installations,"597",22,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,59,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000637] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000637] / "
*,"671101000-WM-01","Planning and preparation process for the wiring, connection, testing, inspecting, commissioning and maintaining of electrical installations and control systems","597",8,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,60,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000638] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000638] / "
*,"671101000-WM-02","Processes of installing, wiring and connecting of electrical equipment and control systems","597",74,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,61,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000639] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000639] / "
*,"671101000-WM-03","Processes of testing and inspecting of electrical equipment, control systems and installations","597",15,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,62,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000640] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000640] / "
*,"671101000-WM-04",Processes of commissioning electrical installations and control systems,"597",15,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,63,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000641] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000641] / "
*,"671101000-WM-05",Maintenance processes for electrical installations and control systems,"597",44,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,64,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000642] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000642] / "
*,"671202000-KM-01",Workplace fundamentals,"599",9,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"2",Knowledge,Core,Y,65,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000643] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000643] / "
*,"671202000-KM-02",The Millwright's world of work,"599",8,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"2",Knowledge,Core,Y,66,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000644] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000644] / "
*,"671202000-KM-03",Basic engineering theory,"629",24,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Knowledge,Core,Y,67,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000645] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000645] / "
*,"671202000-KM-04",Fitting theory,"599",38,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,68,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000646] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000646] / "
*,"671202000-KM-05",Tools and equipment for electrical work,"599",8,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,69,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000647] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000647] / "
*,"671202000-KM-06",Electricity and electronics,"599",13,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,70,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000648] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000648] / "
*,"671202000-KM-07",Wireways and wiring,"599",11,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,71,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000649] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000649] / "
*,"671202000-KM-08",Rotating electrical machinery,"599",13,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,72,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000650] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000650] / "
*,"671202000-KM-09",Electrical supply systems and components,"599",31,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,73,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000651] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000651] / "
*,"671202000-KM-10",Low Voltage protection,"599",5,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,74,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000652] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000652] / "
