"AD_Org_ID[Name]","ZZLearnershipTitle","ZZLearnershipCode","ZZLearnershipType","ZZQualification_ID[ZZSaqaQualificationCode]","ZZNqfLevel","ZZCredits","ZZQualityAssuranceBody","Registrationstartdate","Registrationenddate","ZZMinimumElectiveCredits","IsActive","ZZMigrationCode/K","ZZMigrateValues",_LOG_
*,National Certificate: Engineering Maintenance: Underground Hard Rock (Metalliferous) :Horizontal Transport Services,"16Q160050611922",,"21815","3",197,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,Y,13,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000798] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000798] / "
*,National Certificate: Winding Engine Driving,"16Q160007351763",,"21841","2",127,,2010-02-20 00:00:00.000,2010-02-20 00:00:00.000,0,Y,14,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1396,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000799] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000799] / "
*,National Certificate: Surface Mining Rockbreaking,"16Q160001411572",,"21842","3",158,,2005-08-29 00:00:00.000,2005-08-29 00:00:00.000,0,Y,15,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000800] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000800] / "
*,National Certificate: Jewellery Manufacture in a Mass Production Environment,"16Q160043271593",,"21844","3",159,,2003-06-02 00:00:00.000,2003-06-02 00:00:00.000,0,Y,16,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000801] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000801] / "
*,National Certificate: Diamond Processing Operator: Bottom Sawn,"16Q160045551462",,"21846","2",129,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,Y,17,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000802] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000802] / "
*,National Certificate: Diamond Processing Operator: Bottom Makeable,"16Q160046551462",,"21846","2",129,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,Y,18,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000803] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000803] / "
*,National Certificate: Diamond Processing Operator: Top Makeable,"16Q160047601632",,"21846","2",129,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,Y,19,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000804] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000804] / "
*,National Certificate: Diamond Processing Operator: Top Sawn,"16Q160044551382",,"21846","2",129,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,Y,20,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000805] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000805] / "
*,Construction Plumber,"05Q050015201593",,"21853","3",146,,2005-04-07 00:00:00.000,2005-04-07 00:00:00.000,0,Y,21,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000806] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000806] / "
*,General Security Officer's Learnership Level 3,"19Q190005321353",,"22490","3",135,,2005-04-26 00:00:00.000,2005-04-26 00:00:00.000,0,Y,22,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000807] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000807] / "
*,Construction Carpenter (Formwork),"05Q050031211223",,"22670","3",122,,2005-04-07 00:00:00.000,2005-04-07 00:00:00.000,0,Y,23,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000808] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000808] / "
*,Construction Mason (Face Brick Laying),"05Q050018181223",,"22671","3",122,,2005-04-07 00:00:00.000,2005-04-07 00:00:00.000,0,Y,24,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000809] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000809] / "
*,Autotronics L2,"17Q170030001282",,"22858","2",128,,2002-12-04 00:00:00.000,2002-12-04 00:00:00.000,0,Y,25,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000810] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000810] / "
*,National Certificate in Autotronics L3,"17q170030001413",,"22859","3",141,,2011-10-30 00:00:00.000,2011-10-30 00:00:00.000,0,Y,26,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000811] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000811] / "
*,National Certificate: Diesel Mechanic: Surface Diamonds,"16Q160014001373",,"23624","3",146,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,Y,27,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1105,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000812] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000812] / "
*,National Certificate: Diesel Mechanic: Metalliferous,"16Q160013001493",,"23624","3",149,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,28,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1105,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000813] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000813] / "
*,National Certificate: Diesel Mechanic: Coal,"16Q160012001623",,"23624","4",162,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,29,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1105,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000814] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000814] / "
*,National Certificate Plater/Welder - Underground Diamonds,"16Q160015001683",,"21846","3",168,,2003-05-06 00:00:00.000,2003-05-06 00:00:00.000,0,Y,30,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000815] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000815] / "
*,National Certificate: Electrical: Metalliferous,"16Q160041003404",,"23625","4",340,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,31,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000816] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000816] / "
*,National Certificate: Electrical: Opencast,"16Q160040003294",,"23625","4",329,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,32,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000817] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000817] / "
*,National Certificate: Electrical: Surface Coal,"16Q160039003444",,"23625","4",344,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,33,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000818] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000818] / "
*,National Certificate: Electrical: Surface Diamonds,"16Q160042003014",,"23625","4",301,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,34,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000819] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000819] / "
*,National Certificate: Electrical: Underground Coal,"16Q160038003494",,"23625","4",349,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,35,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000820] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000820] / "
*,National Certificate: Electrical: Underground Diamonds,"16Q160037003134",,"23625","4",313,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,36,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000821] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000821] / "
*,National Certificate: Fitting and Turning: Underground Diamonds,"16Q160032001593",,"23626","3",159,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,37,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1090,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000822] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000822] / "
*,National Certificate: Fitting and Turning: Open Cast,"16Q160054001463",,"23626","3",146,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,Y,38,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1090,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000823] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000823] / "
*,National Certificate: Fitting and Turning: Surface Coal,"16Q160034001463",,"23626","3",146,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,39,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1090,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000824] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000824] / "
*,National Certificate: Fitting and Turning: Surface Diamonds,"16Q160036001403",,"23626","3",140,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,40,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1090,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000825] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000825] / "
*,National Certificate: Fitting and Turning: Underground Coal,"16Q160033001853",,"23626","3",185,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,41,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1090,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000826] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000826] / "
*,National Certificate: Fitting and Turning: Metalliferous,"16Q160035002763",,"23626","3",276,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,42,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1090,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000827] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000827] / "
*,National Certificate: Fitting (including machining) : Underground Coal,"16Q160024001533",,"23627","3",153,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,43,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1102,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000828] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000828] / "
*,National Certificate: Fitting (including machining) : Underground Daimonds,"16Q160023001273",,"23627","3",127,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,44,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1102,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000829] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000829] / "
*,National Certificate: Fitting (including machining) : Metalliferous,"16Q160026002443",,"23627","3",153,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,45,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1102,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000830] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000830] / "
*,National Certificate: Fitting (including machining) : Surface Coal,"16Q160025001283",,"23627","3",128,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,46,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1102,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000831] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000831] / "
*,National Certificate: Fitting (including machining) : Surface Diamonds,"16Q160027001203",,"23627","3",120,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,47,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1102,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000832] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000832] / "
*,National Certificate: Fitting (including machining) : Open Cast,"16Q160053001463",,"23627","3",146,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,Y,48,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1102,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000833] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000833] / "
*,National Certificate: Instrumentation Mechanician,"16Q160008001764",,"23628","4",176,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,49,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1174,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000834] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000834] / "
*,Management,"23Q230027371203",Non MQA learnership,"23654","3",120,,2003-10-08 00:00:00.000,2025-06-30 00:00:00.000,0,Y,50,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000835] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000835] / "
*,Learnership Towards National Certificate - Supervisor,"23Q230028561404",,"23656","4",140,,2004-11-03 00:00:00.000,2004-11-03 00:00:00.000,0,Y,51,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000836] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000836] / "
*,National Certificate: Rigger Ropesman: Open Cast,"16Q160010001273",,"23813","3",127,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,Y,52,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1079,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000837] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000837] / "
*,National Certificate: Rigger Ropesman: Surface / Underground,"16Q160009001273",,"23813","3",127,,2012-06-30 00:00:00.000,2012-06-30 00:00:00.000,0,Y,53,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1079,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000838] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000838] / "
*,Community House Builder (Entrepreneurial),"05Q050061251552",,"24273","2",155,,2005-04-07 00:00:00.000,2005-04-07 00:00:00.000,0,Y,54,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000839] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000839] / "
*,First Line Management,Q230033 34 152 5,,"24493","5",152,,2003-10-08 00:00:00.000,2003-10-08 00:00:00.000,0,Y,55,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000840] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000840] / "
*,First Line Manager,"23Q230033341525",,"24493","5",152,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,Y,56,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000841] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000841] / "
*,Payroll Administration,"23Q230031261534",,"35927","3",153,,2005-04-07 00:00:00.000,2005-04-07 00:00:00.000,0,Y,57,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000842] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000842] / "
*,National Certificate in Measurement Control and Instrumentation,"08Q080034281392",,"48695","2",139,,2004-04-07 00:00:00.000,2004-04-07 00:00:00.000,0,Y,58,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1112,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000843] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000843] / "
*,National Certificate in Measurement Control and Instrumentaion,"08Q080035251503",,"48696 ","3",150,,2004-04-07 00:00:00.000,2004-04-07 00:00:00.000,0,Y,59,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1112,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000844] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000844] / "
*,"National Certificate: Occupational Safety, Hygiene and Environment","16Q160065571412",,"48804","1",135,,2006-06-12 00:00:00.000,2006-06-12 00:00:00.000,0,Y,60,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000845] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000845] / "
*,Chartered Accountant: Financial Management,"01Q010002004807",,"48912","7",480,,2003-08-13 00:00:00.000,2003-08-13 00:00:00.000,0,Y,61,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000846] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000846] / "
*,Associate General Accountant,"01Q0100030036066",,"48914","6",606,,2003-08-13 00:00:00.000,2003-08-13 00:00:00.000,0,Y,62,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000847] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000847] / "
*,"National Certificate: Mineral Processing, Gold Extraction","16Q160071421243",,"49044","1",124,,2007-03-07 00:00:00.000,2007-03-07 00:00:00.000,0,Y,63,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000848] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000848] / "
*,National Certificate: Lump Ore Beneficiation: Jig Concentration,"16Q160064611632",,"49045","2",163,,2005-09-20 00:00:00.000,2005-09-20 00:00:00.000,0,Y,64,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000849] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000849] / "
*,National Certificate: Lump Ore Beneficiation: Dense Medium Separation,"16Q160062611632",,"49045","2",163,,2005-09-20 00:00:00.000,2005-09-20 00:00:00.000,0,Y,65,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000850] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000850] / "
*,Learnership National Certificate Furniture Making Wood,"10Q100028001332",,"49091","2",133,,2004-08-02 00:00:00.000,2004-08-02 00:00:00.000,0,Y,66,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000851] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000851] / "
*,Further Education and Training Certificate: Minerals ,"16Q160069441484",,"50082","4",148,,2006-12-08 00:00:00.000,2006-12-08 00:00:00.000,0,Y,67,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:528,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000852] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000852] / "
*,National Certificate: Rockbreaking: Quarrying: Quarries,"16Q160072483693",,"57121","3",160,,2007-03-07 00:00:00.000,2007-03-07 00:00:00.000,0,Y,68,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000853] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000853] / "
*,National Certificate: Rockbreaking: Quarrying: Dimension Stone,"16Q160073481603",,"57121","3",160,,2007-03-07 00:00:00.000,2007-03-07 00:00:00.000,0,Y,69,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000854] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000854] / "
*,Further Education and Training Certificate: Carbonate Materials Manufacturing Processes: Lime Manufacturing,"16Q160075261594",,"57692","4",170,,2007-03-07 00:00:00.000,2007-03-07 00:00:00.000,0,Y,70,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1444,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000855] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000855] / "
*,Further Education and Training Certificate: Jewellery Designing,"16Q160079311464",,"57875","4",146,,2007-10-08 00:00:00.000,2007-10-08 00:00:00.000,0,Y,71,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1117,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000856] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000856] / "
*,Further Education and Training Certificate: Jewellery Manufacturing Operations,"16Q160078291504",,"57876","4",150,,2007-10-11 00:00:00.000,2007-10-11 00:00:00.000,0,Y,72,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1272,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000857] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000857] / "
*,National Certificate: Electro-Mechanics: Mining and Minerals,"16Q160083471662 ",,"60293","2",166,,2007-05-02 00:00:00.000,2007-05-02 00:00:00.000,0,Y,73,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000858] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000858] / "
*,Further Education and Training Certificate: Electro-Mechanics: Mining and Minerals,"16Q160085291714 ",,"60295","4",171,,2007-05-02 00:00:00.000,2007-05-02 00:00:00.000,0,Y,74,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1167,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000859] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000859] / "
*,National Certificate: Electro-Mechanics: Mining and Minerals,"16Q160077471413",,"60294","3",141,,2007-05-02 00:00:00.000,2007-05-02 00:00:00.000,0,Y,75,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1167,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000860] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000860] / "
*,National Certificate: Electro-Mechanics: Mining and Minerals,"16Q160084441413 ",,"60294","3",141,,2007-05-02 00:00:00.000,2007-05-02 00:00:00.000,0,Y,76,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1167,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000861] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000861] / "
*,Further Education and Training Certificate: Engineering Fabrication ,"16Q160092282344",,"60292","4",234,,2007-08-16 00:00:00.000,2007-08-16 00:00:00.000,0,Y,77,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:192,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000862] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000862] / "
*,National Certificate: Mining Operations for Underground Hard Rock: Conventional Mining,"16Q160086991302 ",,"58739","2",130,,2007-08-16 00:00:00.000,2007-08-16 00:00:00.000,0,Y,78,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000863] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000863] / "
*,National Certificate: Mining Operations for Underground Hard Rock: Mechanised Mining,"16Q160089991302",,"58739","2",130,,2007-08-16 00:00:00.000,2007-08-16 00:00:00.000,0,Y,79,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000864] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000864] / "
