"AD_Org_ID[Name]","ZZSkillsProgrammeCode","ZZSkillsProgrammeTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZQualityAssuranceBody","ZZSkillsProgrammeType","ZZQualification_ID[ZZSaqaQualificationCode]","ZZAETLevel","ZZMinimumElectiveCredits","ZZSkillsProgrammeGrantType","ZZIsOHS","IsActive","ZZMigrationCode/K","ZZMigrateValues",_LOG_
*,MQA/SP/0003/04,Skills Programme: Competent Person A: To examine and declare a working place safe (Underground Hard Rock Narrow Tabular) V2,,25,2007-01-01 00:00:00.000,2024-07-30 23:59:59.000,,Standalone,,,0,,N,Y,14,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000906Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000906Name=null] / "
*,MQA/SP/0001/03,"Skills Programme: Competent Person B: The Installation,Maintanance and Removal Support 1.7 (Underground Hard Rock Operations)-Underground Hard Rock  Narrow Tabular (Massive)",,24,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,Standalone,,,8,,N,Y,15,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000907Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000907Name=null] / "
*,MQA/SP/0004/03,Skills Programme: Competent Person A: To examine and declare a working place safe (Underground Hard Rock Massive) V2,,22,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,Standalone,,,3,,N,Y,16,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000908Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000908Name=null] / "
*,MQA/SP/0027/05,Skills Programme: Scrubbing and Screening (Version 1),,17,2005-06-22 00:00:00.000,2008-06-22 00:00:00.000,,Standalone,,,2,,N,Y,17,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000909Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000909Name=null] / "
*,MQA/SP/0028/05,Skills Programme: Dense Medium Separation (Version 1),,14,2005-06-22 00:00:00.000,2008-06-22 00:00:00.000,,Standalone,,,2,,N,Y,18,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000910Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000910Name=null] / "
*,MQA/SP/0029/05,Skills Programme: Ore Reception,,8,2005-06-22 00:00:00.000,2008-06-22 00:00:00.000,,Standalone,,,1,,N,Y,19,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000911Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000911Name=null] / "
*,MQA/SP/0030/05,Skills Programme: Crushing (Version 1),,12,2005-06-22 00:00:00.000,2009-07-22 00:00:00.000,,Standalone,,,4,,N,Y,20,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000912Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000912Name=null] / "
*,MQA/SP/0025/05,Skills Programme: Determine the Physical Properties of a Coal Sample in a Laboratory,,29,2005-09-02 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,21,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000913Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000913Name=null] / "
*,MQA/SP/0031/05,SkillsProgramme: Primary Sample Preparation in an analytical laboratory (Analytical Services),,23,2005-09-02 00:00:00.000,2008-09-02 00:00:00.000,,Standalone,,,0,,N,Y,22,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000914Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000914Name=null] / "
*,MQA/SP/0035/05,Skills Programme: Secondary Sample Preparation in and Analytical Laboratory (Analytical Services),,18,2005-09-02 00:00:00.000,2008-09-02 00:00:00.000,,Standalone,,,0,,N,Y,23,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000915Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000915Name=null] / "
*,MQA/SP/0032/05,Skills Programme: The Separation of Precious Metals by Means of the Fire Assay Technique ,,34,2005-09-02 00:00:00.000,2008-09-02 00:00:00.000,,Standalone,,,2,,N,Y,24,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000916Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000916Name=null] / "
*,MQA/SP/0038/05,Skills Programme: Tube Set Gemstones into Jewellery,,17,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,25,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000917Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000917Name=null] / "
*,MQA/SP/0039/05,Skills Programme: Channel Set Gemstones into Jewellery,,20,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,26,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000918Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000918Name=null] / "
*,MQA/SP/0040/05,Skills Programme: Pave Set Gemstones into Jewellery,,34,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,17,,N,Y,27,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000919Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000919Name=null] / "
*,MQA/SP/0041/05,Skills Programme: Gas Testing Operations in Underground Coal Mines,,42,2005-10-07 00:00:00.000,2008-10-07 00:00:00.000,,Standalone,,,0,,N,Y,28,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000920Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000920Name=null] / "
*,MQA/SP/0005/05,Skills Programme: Competent Person A: To examine and declare a working place safe (Underground Coal Longwall Mining) V2,,22,2018-07-01 00:00:00.000,2020-09-25 00:00:00.000,,Standalone,,,0,,N,Y,29,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000921Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000921Name=null] / "
*,MQA/SP/0006/05,Skills Programme: To examine and declare a working place safe for the purpose of regulation 1.1 (Underground Coal Conventional Mining) V2,,28,2005-10-19 00:00:00.000,2008-10-19 00:00:00.000,,Standalone,,,4,,N,Y,30,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000922Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000922Name=null] / "
*,MQA/SP/0007/05,Skills Programme: Competent Person A: To examine and declare a working place safe (Underground Coal Continuous Mining) V2,,24,2018-07-01 00:00:00.000,2020-09-25 00:00:00.000,,Standalone,,,0,,N,Y,31,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000923Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000923Name=null] / "
*,MQA/SP/0011/05,"Skills Programme: Competent Person B: To install, maintain and remove any support unit in Underground Coal Mining Operations - Timber Support V3",,23,2018-07-01 00:00:00.000,2024-07-30 23:59:59.000,,Standalone,,,3,,N,Y,32,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000924Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000924Name=null] / "
*,MQA/SP/0017/05,"Skills Programme: Competent Person B: To install, maintain and remove any support in Underground Coal Mining Operations - Roofbolter Machine Support  V3",,18,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,,Standalone,,,3,,N,Y,33,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000925Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000925Name=null] / "
*,MQA/SP/0008(C)/05,"Skills Programme: Competent Person B: To install, maintain and remove any support in Underground Coal Mining Operations - Compressed Air / Hydraulic Support V3",,17,2018-07-01 00:00:00.000,2024-07-30 23:59:59.000,,Standalone,,,2,,N,Y,34,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000926Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000926Name=null] / "
*,MQA/SP/0044/06,Skills Programme: Conduct Occupational Health and Safety Representative activities in the Mining and Minerals Sector,,13,2006-06-12 00:00:00.000,2009-06-12 00:00:00.000,,Standalone,,,2,,N,Y,35,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000927Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000927Name=null] / "
*,MQA/SP/0045/06,Skills Programme: Operate a Small-Scale Surface Mine,,67,2006-07-31 00:00:00.000,2009-12-31 00:00:00.000,,Standalone,,,0,,N,Y,36,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000928Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000928Name=null] / "
*,MQA/SP/0046/06,"Skills Programme: Competent Person B: The Installation, Maintenance and Removal of Support Units in Surface Mines",,20,2006-09-05 00:00:00.000,2009-09-05 00:00:00.000,,Standalone,,,0,,N,Y,37,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000929Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000929Name=null] / "
*,MQA/SP/0047/06,Skills Programme: Intermediate Generic Management,,49,2006-10-06 00:00:00.000,2009-10-06 00:00:00.000,,Standalone,,,9,,N,Y,38,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000930Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000930Name=null] / "
*,MQA/SP/0048/06,Skills Programme: Advanced Generic Management,,63,2006-10-06 00:00:00.000,2009-10-06 00:00:00.000,,Standalone,,,9,,N,Y,39,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000931Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000931Name=null] / "
*,MQA/SP/0050/06,Skills Programme: Adsorption of Gold onto Activated Carbon (CIP/CIL/CIS Processes (Version 1),,16,2006-11-03 00:00:00.000,2009-11-03 00:00:00.000,,Standalone,,,2,,N,Y,40,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000932Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000932Name=null] / "
*,MQA/SP/0051/06,Skills Programme: Handling of Chemicals (Version 1),,7,2006-11-06 00:00:00.000,2009-11-06 00:00:00.000,,Standalone,,,4,,N,Y,41,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000933Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000933Name=null] / "
*,MQA/SP/0052/06,Skills Programme: Milling of Material,,19,2006-11-06 00:00:00.000,2015-06-30 00:00:00.000,,Standalone,,,8,,N,Y,42,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000934Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000934Name=null] / "
*,MQA/SP/0053/06,Skills Programme: Slimes Reclamation (Version 1),,15,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,,Standalone,,,2,,N,Y,43,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1258,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000935Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000935Name=null] / "
*,MQA/SP/0054/06,Skills Programme: Solvent Extraction (Version 1),,21,2006-11-06 00:00:00.000,2009-07-08 00:00:00.000,,Standalone,,,2,,N,Y,44,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000936Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000936Name=null] / "
*,MQA/SP/0055/06,Skills Programme: Packing Plant Unitising Operations,,35,2006-11-17 00:00:00.000,2009-11-17 00:00:00.000,,Standalone,,,9,,N,Y,45,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000937Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000937Name=null] / "
*,MQA/SP/0056/06,Skills Programme: Tanker-Based Bulk Materials Loading,,64,2006-11-17 00:00:00.000,2009-11-17 00:00:00.000,,Standalone,,,23,,N,Y,46,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000938Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000938Name=null] / "
*,MQA/SP/0042/07,Skills Programme: Blasting Assistant in Surface Mining V3,,19,2007-06-11 00:00:00.000,2025-06-30 23:59:59.000,,Standalone,,,2,,N,Y,47,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000939Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000939Name=null] / "
*,MQA/SP/0043/05,Skills Programme: Blasting Assistant Operations in Underground Coal Mines V3,,31,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,48,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000940Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000940Name=null] / "
*,MQA/SP/0057/07,Skills Programme: Generic Engineering,,62,2007-06-13 00:00:00.000,2010-09-13 00:00:00.000,,Standalone,,,0,,N,Y,49,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000941Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000941Name=null] / "
*,MQA/SP/0058/07,Skills Programme: Monitor and Operate Plant and Equipment,,41,2007-07-30 00:00:00.000,2010-07-30 00:00:00.000,,Standalone,,,15,,N,Y,50,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000942Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000942Name=null] / "
*,MQA/SP/0059/07,Skills Programme: Basic Generic Supervision,,28,2007-07-30 00:00:00.000,2010-02-28 00:00:00.000,,Standalone,,,0,,N,Y,51,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000943Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000943Name=null] / "
*,MQA/SP/0060/07,"Skills Programme: Occupational Health and Safety, Environment and Quality (Basic)",,20,2007-07-30 00:00:00.000,2015-06-30 00:00:00.000,,Standalone,,,6,,N,Y,52,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000944Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000944Name=null] / "
*,MQA/SP/0064/07,Skills Programme: Blasting Assistant within Underground Hard Rock V4,,23,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,3,,N,Y,53,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000945Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000945Name=null] / "
*,MQA/SP/0063/07,Skills Programme: Competent person A: The examination and Declaring safe of a Workplace in Underground Hard Rock Operations (V4),,28,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,3,,N,Y,54,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000946Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000946Name=null] / "
*,MQA/SP/0061/07,Skills Programme: Competent person B: The Installation and Maintenance of any Support Unit and the removal of a Temporary Support Unit in Underground Hard Rock Operations (V4),,16,2015-07-01 00:00:00.000,2024-07-30 23:59:59.000,,Standalone,,,0,,N,Y,55,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000947Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000947Name=null] / "
*,MQA/SP/0062/07,Skills Programme: Secondary Blasting Operations for Underground Hard Rock (V3),,36,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,2,,N,Y,56,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000948Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000948Name=null] / "
*,MQA/SP/0026/05,Skills Programme: The Examination Making Safe and Declaring Safe of Unblasted Quarries and Stockpiles ,,24,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,Standalone,,,1,,N,Y,57,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000949Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000949Name=null] / "
*,MQA/SP/0010/07,"Skills Programme: Competent Person B: To Install, maintain and removal of support in (Underground Hard Rock Operations) (Massive) V3",,21,2007-11-29 00:00:00.000,2010-11-29 00:00:00.000,,Standalone,,,10,,N,Y,58,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000950Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000950Name=null] / "
*,MQA/SP/0009/07,"Skills Programme: Competent Person B: To install, maintain and remove support unit (Underground Hard Rock Narrow Tabular) V3",,11,2007-11-29 00:00:00.000,2024-07-30 23:59:59.000,,Standalone,,,0,,N,Y,59,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000951Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000951Name=null] / "
*,MQA/SP/0108/07,Skills Programme: Thickening of a Slurry (V2),,11,2007-11-30 00:00:00.000,2010-11-30 00:00:00.000,,Standalone,,,2,,N,Y,60,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000952Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000952Name=null] / "
*,MQA/SP/0065/08,Skills Programme: Rock Drill Operator  for  Underground Hardrock Mines,,23,2008-02-01 00:00:00.000,2024-07-30 23:59:59.000,,Standalone,,,1,,N,Y,61,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000953Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000953Name=null] / "
*,MQA/SP/0068/08,Skills Programme: Trackless Mobile Machine Operations-Underground Hardrock,,26,2015-07-01 00:00:00.000,2018-01-18 00:00:00.000,,Standalone,,,7,,Y,Y,62,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000954Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000954Name=null] / "
*,MQA/SP/0067/08,Skills Programme: Crushing and Screening ,,59,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,,Standalone,,,10,,N,Y,63,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:552,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000955Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000955Name=null] / "
*,MQA/SP/0066/08,Skills Programme: Operate Mining Machinery in an Underground Coal Mine,,28,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,,Standalone,,,3,,N,Y,64,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000956Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000956Name=null] / "
*,MQA/SP/0070/08,Skills Programme: Milling Operations (Dry Process),,35,2007-01-01 00:00:00.000,2010-10-01 00:00:00.000,,Standalone,,,2,,N,Y,65,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000957Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000957Name=null] / "
*,MQA/SP/0069/08,Skills Programme: Rock Drill Operator in Underground Hardrock Mines,,23,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,1,,N,Y,66,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000958Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000958Name=null] / "
*,"21845",Further Education and Training Certificate in  Diamond Processing: Polisher - Crossworker,"4",351,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,Leads to a Qualification,"21845",,351,,N,Y,67,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000959Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000959Name=null] / "
*,"21843",National Certificate in Diamond Processing: Polisher - Brillianteer,"3",323,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,Leads to a Qualification,"21843",,323,,N,Y,68,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000960Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000960Name=null] / "
*,"50063",Further Education and Training Certificate in  Occupational Safety (Version1),"4",145,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,Leads to a Qualification,"50063",,145,,N,Y,69,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000961Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000961Name=null] / "
*,"58248",National Certificate in Laboratory Practice,"2",120,2007-06-27 00:00:00.000,2015-06-30 00:00:00.000,,Leads to a Qualification,"58248",,120,,N,Y,70,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:102,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000962Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000962Name=null] / "
*,"21811",National Certificate: Introduction to Mining and Minerals V2,"1",120,2005-08-23 00:00:00.000,2008-08-23 00:00:00.000,,Leads to a Qualification,"21811",,14,,N,Y,71,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000963Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000963Name=null] / "
